action step s r x y
[step] 228 2 0 88 89
[step] 229 2 0 89 89
[step] 230 2 0 89 88
[step] 231 2 0 90 88
[step] 232 2 0 91 88
[step] 233 2 0 91 87
[step] 234 2 0 91 86
[step] 235 2 0 92 86
[step] 236 2 0 93 86
[step] 237 1 0 94 86
[step] 238 1 0 94 87
[step] 239 2 0 93 87
[step] 240 2 0 94 87
[step] 241 2 0 95 87
[step] 242 2 0 96 87
[step] 243 1 0 97 87
[step] 244 1 0 96 87
[step] 245 1 0 95 87
[step] 246 1 0 95 86
[step] 247 1 0 94 86
[step] 248 1 0 93 86
[step] 249 1 0 92 86
[step] 250 1 0 92 85
[step] 251 1 0 91 85
[step] 252 1 0 90 85
[step] 253 1 0 90 86
[step] 254 1 0 90 85
[step] 255 1 0 89 85
[step] 256 1 0 88 85
[step] 257 1 0 87 85
[step] 258 1 0 86 85
[step] 259 1 0 85 85
[step] 260 1 0 85 86
[step] 261 1 0 85 85
[step] 262 1 0 84 85
[step] 263 1 0 83 85
[step] 264 1 0 83 84
[step] 265 1 0 82 84
[step] 266 1 0 81 84
[step] 267 1 0 80 84
[step] 268 2 0 80 83
[step] 269 1 0 81 83
[step] 270 1 0 81 82
[step] 271 1 0 80 82
[step] 272 1 0 80 81
[step] 273 1 0 79 81
[step] 274 2 0 78 81
[step] 275 1 0 79 81
[step] 276 2 0 78 81
[step] 277 2 0 78 80
[step] 278 2 0 78 81
[step] 279 2 0 79 81
[step] 280 2 0 79 80
[step] 281 2 0 80 80
[step] 282 2 0 81 80
[step] 283 2 0 81 79
[step] 284 2 0 81 80
[step] 285 2 0 81 79
[step] 286 2 0 82 79
[step] 287 2 0 83 79
[step] 288 2 0 84 79
[step] 289 2 0 85 79
[step] 290 2 0 86 79
[step] 291 2 0 87 79
[step] 292 2 0 87 78
[step] 293 2 0 88 78
[step] 294 2 0 89 78
[step] 295 1 0 90 78
[step] 296 1 0 90 79
[step] 297 1 0 90 80
[step] 298 1 0 89 80
[step] 299 1 0 88 80
[step] 300 1 0 88 79
[step] 301 1 0 87 79
[step] 302 1 0 87 80
[step] 303 1 0 87 79
[step] 304 2 0 87 80
[step] 305 2 0 88 80
[step] 306 2 0 89 80
[step] 307 2 0 89 81
[step] 308 2 0 90 81
[step] 309 2 0 90 80
[step] 310 2 0 90 79
