x0, Result
-95, 0.2700019306481577
-90, 0.287547388340734
-85, 0.30786642518727775
-80, 0.33102889985608364
-75, 0.35706979120108717
-70, 0.38598846766132766
-65, 0.4177483283832445
-60, 0.45227684949984526
-55, 0.4894660681791131
-50, 0.5291735332956603
-45, 0.5712237447799873
-40, 0.6154100939918039
-35, 0.6614973052135045
-30, 0.7092243641438751
-25, 0.758307903839905
-20, 0.8084460027773381
-15, 0.8593223345100212
-10, 0.9106105947308037
-5, 0.9674419053949388
0, 0.9878893680039774
5, 0.9674419053949388
10, 0.9106105947308037
15, 0.8593223345100212
20, 0.8084460027773381
25, 0.758307903839905
30, 0.7092243641438751
35, 0.6614973052135045
40, 0.6154100939918039
45, 0.5712237447799873
50, 0.5291735332956603
55, 0.4894660681791131
60, 0.45227684949984526
65, 0.4177483283832445
70, 0.38598846766132766
75, 0.35706979120108717
80, 0.33102889985608364
85, 0.30786642518727775
90, 0.287547388340734
95, 0.2700019306481577
