x0, Result
-95, 0.08100338431210438
-90, 0.12452749902298124
-85, 0.16821702878301897
-80, 0.21212146968223936
-75, 0.2562831935452871
-70, 0.30073596141083936
-65, 0.3455036692396484
-60, 0.39059935981890004
-55, 0.43602452766986644
-50, 0.48176873584547064
-45, 0.5278095550303685
-40, 0.574112826554505
-35, 0.6206332420425184
-30, 0.6673152236950657
-25, 0.7140940808846061
-20, 0.7608974110912808
-15, 0.8076467064333585
-10, 0.8542591213671525
-5, 0.9469316281276895
0, 0.9760795667407061
5, 0.9469316281276895
10, 0.8542591213671525
15, 0.8076467064333585
20, 0.7608974110912808
25, 0.7140940808846061
30, 0.6673152236950657
35, 0.6206332420425184
40, 0.574112826554505
45, 0.5278095550303685
50, 0.48176873584547064
55, 0.43602452766986644
60, 0.39059935981890004
65, 0.3455036692396484
70, 0.30073596141083936
75, 0.2562831935452871
80, 0.21212146968223936
85, 0.16821702878301897
90, 0.12452749902298124
95, 0.08100338431210438
