x0, Result
-95, 0.9986424882046416
-90, 0.9986508493072435
-85, 0.9986646718206964
-80, 0.998683892123691
-75, 0.998708421739599
-70, 0.9987381477349111
-65, 0.9987729332420231
-60, 0.9988126181877631
-55, 0.9988570206670158
-50, 0.9989059408398848
-45, 0.9989591736486196
-40, 0.9990165459778968
-35, 0.9990780013316458
-30, 0.9991437202691242
-25, 0.9992140926351856
-20, 0.9992890136723915
-15, 0.9993659026236985
-10, 0.9994370541332882
-5, 0.9994892479437469
0, 0.9995086644298415
5, 0.9994892479437469
10, 0.9994370541332882
15, 0.9993659026236985
20, 0.9992890136723915
25, 0.9992140926351856
30, 0.9991437202691242
35, 0.9990780013316458
40, 0.9990165459778968
45, 0.9989591736486196
50, 0.9989059408398848
55, 0.9988570206670158
60, 0.9988126181877631
65, 0.9987729332420231
70, 0.9987381477349111
75, 0.998708421739599
80, 0.998683892123691
85, 0.9986646718206964
90, 0.9986508493072435
95, 0.9986424882046416
