x0, Result
-95, 0.3577701835777147
-90, 0.36292512530572363
-85, 0.372337056474943
-80, 0.38593970885619605
-75, 0.4036368405731061
-70, 0.425302443268834
-65, 0.4507810765018676
-60, 0.47988837338386087
-55, 0.5124117645907714
-50, 0.5481114670836966
-45, 0.5867217790993853
-40, 0.6279527144221367
-35, 0.6714919971039293
-30, 0.7170074233674979
-25, 0.7641495813041649
-20, 0.8125549021875578
-15, 0.8618490008466967
-10, 0.9116502476422361
-5, 0.9675095893245853
0, 0.9878950566112723
5, 0.9675095893245853
10, 0.9116502476422361
15, 0.8618490008466967
20, 0.8125549021875578
25, 0.7641495813041649
30, 0.7170074233674979
35, 0.6714919971039293
40, 0.6279527144221367
45, 0.5867217790993853
50, 0.5481114670836966
55, 0.5124117645907714
60, 0.47988837338386087
65, 0.4507810765018676
70, 0.425302443268834
75, 0.4036368405731061
80, 0.38593970885619605
85, 0.372337056474943
90, 0.36292512530572363
95, 0.3577701835777147
