x0, Result
-95, 0.9991865467454639
-90, 0.9991948837651048
-85, 0.9992086466001101
-80, 0.9992277422969837
-75, 0.9992520418854147
-70, 0.9992813812450774
-65, 0.9993155621614622
-60, 0.9993543532466754
-55, 0.9993974888692098
-50, 0.9994446576114792
-45, 0.9994954507963436
-40, 0.9995491993493244
-35, 0.9996046032325064
-30, 0.9996591981050893
-25, 0.9997091698239566
-20, 0.9997506430741804
-15, 0.9997829118304786
-10, 0.9998092049183374
-5, 0.999829707142754
0, 0.9998379809605804
5, 0.999829707142754
10, 0.9998092049183388
15, 0.9997829118304791
20, 0.9997506430741804
25, 0.9997091698239566
30, 0.9996591981050893
35, 0.9996046032325061
40, 0.9995491993493235
45, 0.9994954507963436
50, 0.9994446576114792
55, 0.9993974888692098
60, 0.9993543532466754
65, 0.9993155621614622
70, 0.9992813812450774
75, 0.9992520418854147
80, 0.9992277422969837
85, 0.9992086466001097
90, 0.9991948837651056
95, 0.9991865467454657
